c:\sys\ut\rpn\rpn.py -l120 -E -a3010 1 5000 range lambda 2 x ** next_prime 2 x ** - eval 1 enumerate -s1
[
    [ 851, 33 ],
    [ 852, 43 ],
    [ 853, 59 ],
    [ 854, 525 ],
    [ 855, 635 ],
    [ 856, 147 ],
    [ 857, 135 ],
    [ 858, 385 ],
    [ 859, 53 ],
    [ 860, 1131 ],
    [ 861, 131 ],
    [ 862, 1815 ],
    [ 863, 1721 ],
    [ 864, 213 ],
    [ 865, 885 ],
    [ 866, 369 ],
    [ 867, 575 ],
    [ 868, 237 ],
    [ 869, 719 ],
    [ 870, 453 ],
    [ 871, 209 ],
    [ 872, 4395 ],
    [ 873, 275 ],
    [ 874, 837 ],
    [ 875, 809 ],
    [ 876, 1657 ],
    [ 877, 599 ],
    [ 878, 117 ],
    [ 879, 723 ],
    [ 880, 541 ],
    [ 881, 707 ],
    [ 882, 613 ],
    [ 883, 309 ],
    [ 884, 175 ],
    [ 885, 761 ],
    [ 886, 9 ],
    [ 887, 621 ],
    [ 888, 565 ],
    [ 889, 939 ],
    [ 890, 645 ],
    [ 891, 1739 ],
    [ 892, 1035 ],
    [ 893, 39 ],
    [ 894, 175 ],
    [ 895, 359 ],
    [ 896, 993 ],
    [ 897, 1167 ],
    [ 898, 153 ],
    [ 899, 719 ],
    [ 900, 693 ],
    [ 901, 1149 ],
    [ 902, 435 ],
    [ 903, 791 ],
    [ 904, 507 ],
    [ 905, 135 ],
    [ 906, 925 ],
    [ 907, 293 ],
    [ 908, 937 ],
    [ 909, 1101 ],
    [ 910, 39 ],
    [ 911, 21 ],
    [ 912, 261 ],
    [ 913, 1319 ],
    [ 914, 903 ],
    [ 915, 329 ],
    [ 916, 445 ],
    [ 917, 555 ],
    [ 918, 1027 ],
    [ 919, 713 ],
    [ 920, 847 ],
    [ 921, 345 ],
    [ 922, 219 ],
    [ 923, 105 ],
    [ 924, 165 ],
    [ 925, 1371 ],
    [ 926, 7 ],
    [ 927, 435 ],
    [ 928, 177 ],
    [ 929, 149 ],
    [ 930, 163 ],
    [ 931, 113 ],
    [ 932, 1231 ],
    [ 933, 347 ],
    [ 934, 63 ],
    [ 935, 41 ],
    [ 936, 1017 ],
    [ 937, 371 ],
    [ 938, 57 ],
    [ 939, 3083 ],
    [ 940, 471 ],
    [ 941, 69 ],
    [ 942, 165 ],
    [ 943, 981 ],
    [ 944, 657 ],
    [ 945, 201 ],
    [ 946, 427 ],
    [ 947, 1133 ],
    [ 948, 465 ],
    [ 949, 1179 ],
    [ 950, 133 ],
    [ 951, 513 ],
    [ 952, 267 ],
    [ 953, 1485 ],
    [ 954, 609 ],
    [ 955, 225 ],
    [ 956, 85 ],
    [ 957, 185 ],
    [ 958, 1057 ],
    [ 959, 233 ],
    [ 960, 1465 ],
    [ 961, 501 ],
    [ 962, 133 ],
    [ 963, 63 ],
    [ 964, 427 ],
    [ 965, 1029 ],
    [ 966, 1599 ],
    [ 967, 95 ],
    [ 968, 837 ],
    [ 969, 701 ],
    [ 970, 459 ],
    [ 971, 225 ],
    [ 972, 333 ],
    [ 973, 125 ],
    [ 974, 43 ],
    [ 975, 431 ],
    [ 976, 115 ],
    [ 977, 3351 ],
    [ 978, 37 ],
    [ 979, 69 ],
    [ 980, 475 ],
    [ 981, 429 ],
    [ 982, 87 ],
    [ 983, 249 ],
    [ 984, 403 ],
    [ 985, 77 ],
    [ 986, 2463 ],
    [ 987, 3449 ],
    [ 988, 807 ],
    [ 989, 239 ],
    [ 990, 1657 ],
    [ 991, 521 ],
    [ 992, 2431 ],
    [ 993, 921 ],
    [ 994, 169 ],
    [ 995, 515 ],
    [ 996, 403 ],
    [ 997, 21 ],
    [ 998, 2049 ],
    [ 999, 1239 ],
    [ 1000, 297 ],
    [ 1001, 27 ],
    [ 1002, 327 ],
    [ 1003, 419 ],
    [ 1004, 1141 ],
    [ 1005, 2007 ],
    [ 1006, 979 ],
    [ 1007, 2081 ],
    [ 1008, 763 ],
    [ 1009, 1577 ],
    [ 1010, 1729 ],
    [ 1011, 873 ],
    [ 1012, 267 ],
    [ 1013, 149 ],
    [ 1014, 205 ],
    [ 1015, 413 ],
    [ 1016, 285 ],
    [ 1017, 611 ],
    [ 1018, 583 ],
    [ 1019, 285 ],
    [ 1020, 393 ],
    [ 1021, 459 ],
    [ 1022, 1443 ],
    [ 1023, 1155 ],
    [ 1024, 643 ],
    [ 1025, 1481 ],
    [ 1026, 537 ],
    [ 1027, 855 ],
    [ 1028, 187 ],
    [ 1029, 639 ],
    [ 1030, 603 ],
    [ 1031, 23 ],
    [ 1032, 877 ],
    [ 1033, 227 ],
    [ 1034, 79 ],
    [ 1035, 3363 ],
    [ 1036, 2775 ],
    [ 1037, 39 ],
    [ 1038, 577 ],
    [ 1039, 23 ],
    [ 1040, 387 ],
    [ 1041, 1629 ],
    [ 1042, 1057 ],
    [ 1043, 1365 ],
    [ 1044, 2493 ],
    [ 1045, 3089 ],
    [ 1046, 2209 ],
